event_id,recorded_utc,elapsed_seconds,round,phase,topic,observed_fact,action,rationale,observed_result,screenshot_ids,confidence,wonder_chess_hypothesis
"OBS-001","2026-09-06T11:11:22.455Z","","","lobby","visual-hierarchy","Animated courier and coastal fantasy scene dominate the middle; store, chest, event, pass and social panels fill both margins; Casual Solo is visibly selected.","","","","SHOT-001","high","Give Wonder Chess a strong animated focal point while limiting competing menu calls to action."
"OBS-002","2026-09-06T11:12:11.414Z","","","mode-selection","onboarding","Casual rules panel explicitly lists eight players, initial level 1/100 HP/1 Gold, three-copy upgrades, round shop refresh and 2 Gold manual refresh. Lower text is clipped inside a scroll region.","Confirmed Casual Solo and started matchmaking","","Loading screen appeared","SHOT-002;SHOT-003","high","Show essential rules in short readable chunks with a clear indication when more text is below."
"OBS-003","2026-09-06T11:12:40.465Z","29","1","combat","control-and-readability","First purchase attempt returned user input detected. Refreshed state shows Redaxe-like frontline deployed 1/1, 0 Gold, fighting two creeps; purchase/deployment attribution is not established by my click.","Refreshed after input conflict","","Combat proceeds with one deployed unit","SHOT-004;SHOT-005","high","Keep board capacity and combat attribution visible; record input uncertainty separately from game behavior."
"OBS-004","2026-09-06T11:14:16.476Z","125","3","combat","upgrades-and-shop","The shop marked Redaxe Chief Star up before acquisition; subsequent board shows two stars and a changed axe/costume. Right panel compares per-unit damage with portraits and horizontal bars. Opening-round input was mixed.","Closed shop to inspect combat","","Three deployed pieces and per-piece damage visible","SHOT-009;SHOT-010","high","Preview upgrade availability on the relevant shop offer and reinforce the result with a clear but restrained visual change."
"OBS-005","2026-09-06T11:15:31.633Z","200","4","settlement","economy-feedback","God of War purchase reduced gold17->16. EXP action required a separate confirmation; after confirm gold16->12 and shop displayed level4 odds55/35/10. Bought Heaven Brew duplicate12->11. Won first PvP encounter, current HP100.","Purchased Warrior, experience and duplicate","Prepare fourth slot and three distinct Warriors; keep some savings","Level4 achieved during combat; fourth unit remains benched until next preparation","SHOT-011;SHOT-012;SHOT-013","high","Make level-up consequence and timing explicit; avoid a first-use confirmation consuming the final preparation seconds."
"OBS-006","2026-09-06T11:16:27.920Z","256","5","combat","camera-and-control","Talent confirm at nominal screenshot Y994 did not close panel; retry at Y959 closed it. Cursor placement indicates a client/titlebar offset. Combat occurs on a different stone arena while own courier and name persist. Four pieces now deployed; exact final auto-placement/input source unverified.","Adjusted confirm click using observed offset","","Talent overlay closed; combat readable again","SHOT-014;SHOT-015","high","Retain player identity across away boards. Separate tool coordinate errors from game UX findings."
"OBS-007","2026-09-06T11:22:47.208Z","636","11","combat","combat readability","Damage panel compares unit portraits with star markers and colored bars. Shield status appears above surviving front-line pieces. Gold61 HP95 level6 deployment5/6.","Bought God of War and Light Spirit from visible shop","Collect duplicate and fill sixth slot","Gold63 to62 to61 and both appeared on bench","SHOT-026","high","Keep damage recap and status icons legible from the fixed camera; preview recipients of synergy effects."
"OBS-008","2026-09-06T11:28:13.808Z","962","16","preparation","verified deployment and automation","Battle settings show Auto Deploy and Auto Star Up On. W is labelled Deploy/Withdraw. Selected one-star God of War then W changed7/7 to6/7. Selected bench Grand Herald then W changed6/7 to7/7 and Divinity count1 to2 with gold icon.","Replaced duplicate with Grand Herald","Activate a distinct complementary trait","Immediate verified roster and synergy change","SHOT-035;SHOT-036;SHOT-040","high","Expose alternate keyboard controls and clearly indicate when auto-deployment changed the board."
"OBS-009","2026-09-06T11:33:22.539Z","1271","20","combat","scouting and economy progression","At round17 a standings click opened hehehehe board with their bench and trait counts; Return restored home. Round18 Light Spirit shop cost0 after owned-piece discount. Round20 own HP95 level8 and streak10; Fire Spirit deployed with W. Earlier purchase crossed a shop refresh and yielded Fire Spirit, not intended Dark Spirit.","Scouted then built four distinct Spirits","Compare composition information and strengthen the lineup","Eight deployed, Fire Spirit confirmed by unit inspection; equipment remains unverified","SHOT-043;SHOT-048;SHOT-049;SHOT-051","high","Use a clear scouting mode banner; surface discounts in prices; guard purchases against offer refreshes."
"OBS-010","2026-09-06T11:37:50.968Z","1539","24","preparation","synergy-identity","Nine pieces deployed, including two one-star Light Spirits; Mage counter still reads 2. The Source purchased onto bench for 1 gold (59 to 58).","Bought Thunder Spirit duplicate and The Source.","Prepare upgrades and replace a duplicate with a distinct Mage.","Both purchase slots emptied and corresponding bench pieces appeared; swap pending.","SHOT-055;SHOT-056","high","Show distinct-member counting and preview trait changes before replacing a unit."
